City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,ust-nera,64.5667,143.2,-20.71,100,96,1.05,RU,1730235645
136,jaragua,-15.7569,-49.3344,25.16,72,83,1.24,BR,1730235646
137,sirte,31.2089,16.5887,21.1,72,0,4.29,LY,1730235647
138,longyearbyen,78.2186,15.6401,-4.09,93,75,2.57,SJ,1730235648
139,tiksi,71.6872,128.8694,-23.64,100,86,1.62,RU,1730235649
140,qaisumah,28.3112,46.1273,17.98,34,0,2.57,SA,1730235650
141,east london,-33.0153,27.9116,17.51,72,98,12.75,ZA,1730235633
142,saipan,15.1355,145.701,28.51,78,27,8.73,MP,1730235653
143,aykhal,66.0,111.5,-23.3,100,100,2.57,RU,1730235654
144,mpika,-11.8343,31.4529,18.51,87,94,0.72,ZM,1730235655
145,uludere,37.445,42.8617,8.37,30,100,1.31,TR,1730235656
146,taichung,24.1469,120.6839,22.7,77,40,8.23,TW,1730235657
147,polyarnyy,69.1989,33.4478,-0.16,68,79,8.07,RU,1730235658
148,port elizabeth,-33.918,25.5701,16.29,92,40,13.89,ZA,1730235659
149,mount gambier,-37.8333,140.7667,10.14,92,26,0.78,AU,1730235661
150,maxixe,-23.8597,35.3472,24.44,94,98,3.55,MZ,1730235662
151,marco island,25.9363,-81.7157,28.89,64,24,7.24,US,1730235663
152,hammerfest,70.6634,23.6821,2.25,60,20,4.63,NO,1730235664
153,dhidhdhoo,6.8833,73.1,27.9,79,70,5.14,MV,1730235665
154,alo,6.5486,4.2686,25.81,87,24,2.37,NG,1730235667
155,nyala,12.05,24.8833,26.39,19,0,3.47,SD,1730235669
156,mantua,45.1667,10.7833,14.99,96,0,0.45,IT,1730235670
157,metlili chaamba,32.2667,3.6333,24.52,36,40,2.06,DZ,1730235672
158,eustis,28.8528,-81.6853,28.32,69,84,4.02,US,1730235674
159,college,64.8569,-147.8028,-4.03,70,100,4.63,US,1730235388
160,richards bay,-28.783,32.0377,18.63,82,5,2.48,ZA,1730235676
161,chandler,33.3062,-111.8412,23.71,28,0,5.14,US,1730235395
162,klyuchi,52.2667,79.1667,0.6,83,99,2.79,RU,1730235678
163,diffa,13.3154,12.6113,27.03,14,0,3.91,NE,1730235679
164,qaqortoq,60.7167,-46.0333,-1.93,72,79,4.03,GL,1730235681
165,port mathurin,-19.6833,63.4167,23.23,80,10,4.14,MU,1730235682
166,nogliki,51.8333,143.1667,-1.63,88,28,2.65,RU,1730235683
167,stanthorpe,-28.6667,151.95,13.57,99,68,2.32,AU,1730235685
168,piracanjuba,-17.3028,-49.0167,22.79,79,89,0.97,BR,1730235686
169,paramonga,-10.6667,-77.8333,19.82,76,16,5.46,PE,1730235687
170,lee acres,35.1487,-106.647,22.51,31,75,8.75,US,1730235689
171,abadan,30.3392,48.3043,13.97,38,0,1.03,IR,1730235690
172,bor,56.3567,44.0669,4.96,76,100,6.21,RU,1730235691
173,ancud,-41.8697,-73.8203,15.79,69,100,1.7,CL,1730235465
174,atafu village,-8.5421,-172.5159,27.75,78,21,5.63,TK,1730235693
175,sao martinho,39.5144,-9.1311,18.3,75,53,2.24,PT,1730235694
176,laguna,38.421,-121.4238,20.53,37,0,6.17,US,1730235696
177,pacific grove,36.6177,-121.9166,18.14,83,0,3.58,US,1730235677
178,chaykovskiy,56.7686,54.1148,3.04,83,100,3.55,RU,1730235698
179,hamilton,39.1834,-84.5333,26.47,55,0,6.17,US,1730235699
180,seydi,39.4816,62.9137,9.53,51,0,1.82,TM,1730235700
181,iwaki,37.05,140.8833,14.25,95,100,3.22,JP,1730235701
182,edeia,-17.3383,-49.9314,25.22,77,100,0.19,BR,1730235702
183,selfoss,63.9331,-20.9971,4.47,80,85,11.63,IS,1730235703
184,labytnangi,66.6572,66.4183,-9.87,95,100,0.57,RU,1730235705
185,troitskiy,57.0603,63.7481,0.73,86,100,2.17,RU,1730235706
186,rio gallegos,-51.6226,-69.2181,15.03,47,20,11.32,AR,1730235707
187,baotou,40.6522,109.8222,9.18,49,83,1.84,CN,1730235708
188,verkhnevilyuysk,63.4453,120.3167,-24.93,100,100,0.18,RU,1730235709
189,nemuro,43.3236,145.575,11.05,66,74,1.17,JP,1730235710
190,salta,-24.7859,-65.4117,30.88,35,20,3.09,AR,1730235711
191,maceio,-9.6658,-35.7353,25.69,73,0,3.6,BR,1730235617
192,badger,64.8,-147.5333,-4.45,86,100,2.13,US,1730235714
193,kristiansund,63.1115,7.732,9.36,71,75,16.46,NO,1730235715
194,naranjal,-2.6667,-79.6167,28.76,64,48,2.97,EC,1730235716
195,wynyard,-41.0,145.7167,12.88,73,100,5.51,AU,1730235717
196,derbent,42.0678,48.2899,11.83,71,4,2.34,RU,1730235505
197,belmonte,-15.8631,-38.8828,24.87,78,3,3.09,BR,1730235720
198,kayangel,8.0823,134.7173,29.22,75,100,4.31,PW,1730235721
199,dudinka,69.4058,86.1778,-18.32,100,84,1.76,RU,1730235722
200,vila velha,-20.3297,-40.2925,22.97,91,100,3.6,BR,1730235723
201,lorengau,-2.0226,147.2712,27.72,76,89,2.34,PG,1730235724
202,saint-joseph,-21.3667,55.6167,23.21,86,31,4.57,RE,1730235725
203,lata,40.1629,-8.3327,15.01,72,81,2.63,PT,1730235726
204,nova sintra,14.8667,-24.7167,25.48,74,100,6.95,CV,1730235728
205,k'olito,7.3167,38.0833,16.56,91,93,1.16,ET,1730235729
206,patacamaya,-17.2333,-67.9167,13.48,53,59,3.45,BO,1730235730
207,viedma,-40.8135,-62.9967,28.31,16,78,6.6,AR,1730235604
208,tindouf,27.6711,-8.1474,19.25,45,0,3.6,DZ,1730235732
